0.875031,1.050241,1
0.952299,1.115459,1
1.118166,0.824095,1
0.957234,0.995020,1
1.103810,0.846815,1
0.980983,0.936190,1
0.897862,1.128454,1
0.826582,1.014632,1
0.833361,0.948820,1
0.816449,1.093745,1
1.072296,0.970514,1
1.061626,0.964381,1
1.048745,1.294844,1
1.154693,0.922604,1
0.927867,0.937722,1
0.915338,0.911583,1
0.919756,0.912913,1
1.001323,1.084013,1
0.913539,1.010113,1
0.910782,1.007307,1
0.828197,1.015384,1
0.983441,1.085438,1
1.029429,0.912533,1
0.865906,1.055281,1
1.021877,0.876065,1
0.953977,0.886557,1
1.081462,0.902753,1
1.230651,1.011619,1
1.029090,1.076363,1
0.927094,0.966352,1
0.856142,0.990524,1
1.091174,0.948899,1
1.004395,1.118142,1
0.852380,1.075751,1
1.088443,0.983770,1
1.130768,0.958075,1
1.086900,0.964546,1
0.916624,1.123055,1
1.077191,1.018118,1
1.034608,1.055536,1
0.972429,0.913379,1
1.170530,0.949738,1
1.009968,0.908947,1
0.932155,0.938084,1
1.044461,1.151226,1
0.995548,1.149355,1
1.031958,1.114029,1
0.748226,1.020095,1
0.778021,1.110193,1
1.019894,0.876162,1
1.883247,0.857478,2
1.995587,1.122786,2
1.936804,1.220136,2
1.967182,0.980443,2
2.003039,0.999738,2
1.946058,1.223989,2
2.034774,1.005385,2
2.099940,0.823021,2
2.062225,0.853984,2
2.029667,1.036599,2
2.086696,0.977584,2
2.013620,0.929908,2
1.968737,0.881878,2
1.945398,0.818015,2
1.894389,0.891697,2
1.924356,1.029762,2
2.187465,0.897454,2
1.819624,0.921879,2
2.099531,1.115738,2
1.870936,1.103091,2
1.965068,1.043640,2
1.964900,0.975144,2
2.118634,0.956334,2
2.136407,1.132256,2
2.123409,0.877682,2
1.936982,0.876349,2
1.969184,0.988454,2
1.825297,0.772667,2
1.835728,1.040704,2
2.255422,0.883181,2
1.876012,1.118192,2
1.784550,0.978994,2
1.957073,0.824716,2
2.101125,0.982558,2
2.145033,1.066365,2
2.063304,0.904880,2
2.048189,1.091452,2
2.068682,1.211098,2
2.100971,1.157796,2
1.923148,0.970094,2
2.090953,1.126351,2
1.899093,1.103958,2
2.123385,1.073327,2
2.146601,1.133502,2
2.053935,0.878418,2
2.060459,0.896678,2
1.750238,1.048850,2
2.091093,0.899130,2
1.948658,0.985163,2
0.440021,0.557069,3
0.436567,0.650444,3
0.614006,0.658886,3
0.496121,0.616928,3
0.642489,0.644670,3
0.494769,0.557356,3
0.485649,0.454273,3
0.564484,0.275654,3
0.501658,0.620587,3
0.649056,0.491833,3
0.347782,0.494833,3
0.429956,0.449119,3
0.735706,0.407172,3
0.503761,0.423043,3
0.363949,0.432962,3
0.565359,0.335706,3
0.526675,0.436191,3
0.319615,0.414380,3
0.541327,0.464813,3
0.507246,0.416138,3
0.566903,0.517716,3
0.458063,0.596628,3
0.664561,0.600061,3
0.354986,0.448254,3
0.482349,0.544468,3
0.482127,0.413305,3
0.395177,0.406264,3
0.508825,0.630568,3
0.576197,0.474936,3
0.602091,0.406430,3
0.293270,0.487990,3
0.457011,0.470562,3
0.452754,0.748628,3
0.607463,0.451400,3
0.479528,0.436404,3
0.230418,0.474253,3
0.610221,0.448223,3
0.421372,0.609649,3
0.612410,0.547697,3
0.435602,0.428166,3
0.542090,0.626379,3
0.394705,0.644374,3
0.500060,0.622502,3
0.497062,0.565404,3
0.521655,0.320676,3
0.561765,0.528288,3
0.501364,0.494222,3
0.492552,0.367873,3
0.533044,0.586470,3
0.614068,0.509085,3
0.459354,0.657166,3
0.538217,0.405301,3
0.283879,0.462617,3
0.422416,0.309073,3
0.397686,0.675279,3
0.456742,0.432230,3
0.508762,0.622382,3
0.643280,0.615264,3
0.542213,0.562161,3
0.617236,0.643538,3
0.544367,0.399909,3
0.425830,0.548657,3
0.260217,0.559450,3
0.491894,0.544076,3
0.334172,0.556982,3
0.692833,0.402933,3
0.584028,0.478128,3
0.339115,0.678922,3
0.572616,0.573667,3
0.503786,0.535271,3
0.571647,0.668033,3
0.529661,0.348968,3
0.380970,0.481997,3
0.448297,0.411009,3
0.486249,0.491282,3
0.510306,0.380869,3
0.581202,0.593266,3
0.552438,0.354961,3
0.422217,0.677677,3
0.399803,0.552660,3
0.698856,0.469980,3
0.490956,0.450795,3
0.667418,0.572554,3
0.507882,0.557294,3
0.478604,0.587550,3
0.598045,0.508237,3
0.518558,0.457949,3
0.411968,0.384259,3
0.437786,0.368239,3
0.499029,0.657258,3
0.578435,0.600931,3
0.307989,0.473953,3
0.461320,0.559735,3
0.211648,0.474502,3
0.589375,0.469998,3
0.551143,0.528216,3
0.635455,0.506710,3
0.432840,0.519438,3
0.483836,0.550282,3
0.377083,0.541744,3
0.454241,0.385181,3
